case_id,name,batch_size,seq_len,head_dim,logical_pages,candidate_ms,flashinfer_ms,slowdown_vs_flashinfer,effective_tflops,candidate_repeats,flashinfer_repeats,match_ratio,max_abs_error,severe_error_count,passed
2,b1_l1024_d128,1,1024,128,64,0.24652800957361856,0.3592447996139526,0.6862396055239758,69.68729116709038,3,20,1.0,0.001953125,0,True
3,b4_l1024_d128,4,1024,128,256,0.7908693154652914,1.2263168334960937,0.6449143433924905,86.89106454404586,3,20,1.0,0.001953125,0,True
4,b1_l4096_d128,1,4096,128,256,2.718378702799479,4.586227035522461,0.592726588052526,101.11832713408229,3,20,1.0,0.00048828125,0,True
5,b4_l4096_d128,4,4096,128,1024,10.55837885538737,17.78553644816081,0.5936497269093733,104.13640605583865,3,12,1.0,0.0009765625,0,True
6,b16_l1024_d128,16,1024,128,1024,2.961322784423828,4.734092712402344,0.6255312188258956,92.82267653827606,3,20,1.0,0.001953125,0,True
7,b1_l8192_d128,1,8192,128,512,10.536874771118164,17.99219258626302,0.5856359485148593,104.34893188536213,3,12,1.0,0.00048828125,0,True
12,b1_l16384_d128,1,16384,128,1024,41.50596364339193,70.74935404459636,0.5866620862323201,105.96179741520596,3,3,1.0,0.000244140625,0,True
13,b16_l4096_d128,16,4096,128,4096,41.41730244954427,70.04134623209636,0.5913264761116891,106.18862772296251,3,3,1.0,0.0009765625,0,True
14,b16_l8192_d128,16,8192,128,8192,163.70469665527344,282.5049743652344,0.5794754482575202,107.46292808850393,2,1,1.0,0.00048828125,0,True
15,b4_l16384_d128,4,16384,128,4096,162.9687042236328,282.0467224121094,0.5778074739883449,107.94824766033133,2,1,1.0,0.00048828125,0,True
21,b16_l16384_d128,16,16384,128,,,,,,,,,,,False
